Title,Job Position,Location,Founded,Employees,About,Skills,Link
Arcana,Senior Backend Engineer,"Bangalore, Coimbatore, Work From Home",Founded in 2022,10 - 50 employees,"Arcana is on a mission to revolutionize the investing landscape. Our software & data platform enables the world's top institutions to make high-impact decisions about financial & risk strategy and allocation. The Arcana platform computes millions of data points every minute, while serving complex computations in low latencies. Arcana is in a hyper-growth phase with extremely positive feedback from clients and are planning to double the R& D team over the next few quarters.

Arcana was founded in 2022 by Rich Falk-Wallace (former Portfolio Manager at Citadel) and Siva Sooriyan (ex-Director of Engineering at LinkedIn NYC). The team is composed of engineers & data scientists from top IIT institutions and companies, and analysts from the top investment banks & private equity firms.

The company's seed round was led by D1 Capital, Duquesne (Stan Druckenmiller), Tiger Global, Abstract Ventures, GoldenTree Asset Management, Ryan Roslansky (CEO, LinkedIn), Akshay Kothari (Cofounder, Notion), and many other strategic angels.","Django
Python",https://www.instahyre.com/job-300223-senior-backend-engineer-at-arcana-bangalore-coimbatore-work-from-home/
AheadRace,Senior Software Developer,Mumbai,Founded in 2014,50 - 200 employees,"Better insight, faster response, and quicker execution across technology, platforms, and lifecycles. Discover the multiple ways in which AheadRace can help you gain competitive edge. We believe that all problems come with solutions. As long as you have the best people and the processes for the job. We stay relentlessly and obsessively focused on the precise execution of every detail and this helps us and our clients stay ahead in the race.

Our core services include -
Digital Transformation
Go Cloud
MicroServices
DevOps
IoT
Application Value Source.","Python
Django
Flask
AWS
Data Structures",https://www.instahyre.com/job-329738-senior-software-developer-at-aheadrace-mumbai/
Nielsen,Data Engineer,Bangalore,Founded in 1923,More than 1000 employees,"Nielsen Holdings plc (NYSE: NLSN) is a global measurement and data analytics company that provides the most complete and trusted view available of consumers and markets worldwide. Our approach marries proprietary Nielsen data with other data sources to help clients around the world understand what's happening now, what's happening next, and how to best act on this knowledge.

For more than 90 years Nielsen has provided data and analytics based on scientific rigour and innovation, continually developing new ways to answer the most important questions facing the media, advertising, retail and fast-moving consumer goods industries. An S&P; 500 company, Nielsen has operations in over 100 countries, covering more than 90% of the world's population.","Python
Amazon RDS
PySpark
Airflow
CI - CD",https://www.instahyre.com/job-329760-data-engineer-at-nielsen-bangalore/
NetSpring,Senior Fullstack Engineer,Work From Home,Founded in 2019,10 - 50 employees,"NetSpring is a cloud application platform-as-a-service for quick, continuous, AI/ML-assisted, actionable business insights from operational event data. NetSpring's operational intelligence platform serves use cases such as product and behavioral analytics, customer experience, IoT, supply-demand management, financial risk management, personalization, data observability, etc.

NetSpring's co-founders previously co-founded ThoughtSpot, which is now a 4 billion dollar company. NetSpring's early founding team has very deep expertise in enterprise software, data analytics, large-scale distributed systems, databases, and complex analytic applications. They have experience building and scaling a company from zero to a large company. NetSpring is funded by Khosla Ventures, Dell Technologies Capital, and Wipro Ventures. Our mission is to empower every business to reach its peak of operational agility.","React.js
Python
Node.js
JavaScript
CSS",https://www.instahyre.com/job-326595-senior-fullstack-engineer-at-netspring-work-from-home/
AheadRace,Sr. DevOps Engineer,Mumbai,Founded in 2014,50 - 200 employees,"Better insight, faster response, and quicker execution across technology, platforms, and lifecycles. Discover the multiple ways in which AheadRace can help you gain competitive edge. We believe that all problems come with solutions. As long as you have the best people and the processes for the job. We stay relentlessly and obsessively focused on the precise execution of every detail and this helps us and our clients stay ahead in the race.

Our core services include -
Digital Transformation
Go Cloud
MicroServices
DevOps
IoT
Application Value Source.","DevOps
Docker
Kubernetes
AWS
Python",https://www.instahyre.com/job-327569-sr-devops-engineer-at-aheadrace-mumbai/
Zepto,DevOps Engineer,Bangalore,Founded in 2021,More than 1000 employees,"Our Story
Zepto is a fast-growing startup that delivers groceries in 10 minutes flat through an optimized network of dark stores that we're building across the country! We're scaling up rapidly across India with operations live across Mumbai, Bangalore, Delhi, Noida, Ghaziabad, Gurgaon, Chennai, Pune, Kolkata, and Hyderabad.
We are incredibly well funded - we recently announced fundraising from Indian and Global investors that include Y Combinator, Nexus Venture Partners, Glade Brook, and more! We've also built out one of the best startup teams in India, with Senior Executives from Uber, Flipkart, Dream11 and institutions like Stanford, INSEAD, IIM, and IIT.

Engineering @ Zepto
Building for scale, rapid iterative development, and customer-centric product thinking at each step define every day for a Zepto engineer. If building technology that impacts millions, brainstorming with some of the best minds in the country, executing at lightning speed, product-driven thinking, and owning your work from start to finish excites you, then Zepto is the right place for you.","Python
CI - CD
Kubernetes
AWS
DevOps",https://www.instahyre.com/job-210878-devops-engineer-at-zepto-bangalore/
Zepto,DevOps Engineer II,Bangalore,Founded in 2021,More than 1000 employees,"Our Story
Zepto is a fast-growing startup that delivers groceries in 10 minutes flat through an optimized network of dark stores that we're building across the country! We're scaling up rapidly across India with operations live across Mumbai, Bangalore, Delhi, Noida, Ghaziabad, Gurgaon, Chennai, Pune, Kolkata, and Hyderabad.
We are incredibly well funded - we recently announced fundraising from Indian and Global investors that include Y Combinator, Nexus Venture Partners, Glade Brook, and more! We've also built out one of the best startup teams in India, with Senior Executives from Uber, Flipkart, Dream11 and institutions like Stanford, INSEAD, IIM, and IIT.

Engineering @ Zepto
Building for scale, rapid iterative development, and customer-centric product thinking at each step define every day for a Zepto engineer. If building technology that impacts millions, brainstorming with some of the best minds in the country, executing at lightning speed, product-driven thinking, and owning your work from start to finish excites you, then Zepto is the right place for you.","DevOps
Kubernetes
CI - CD
Jenkins
Python",https://www.instahyre.com/job-329802-devops-engineer-ii-at-zepto-bangalore/
RTBAnalytica,Software Engineer,"Bangalore, Work From Home",Founded in 2021,10 - 50 employees,"At RTBAnalytica, we believe in implementing the ideas and seeing the impact it has on the world around us. Digital advertising is highly complex, fragmented, and contributes towards significant carbon emissions.
Advertisement technology or ad-tech is an $800 billion industry. Brands rely on targeting consumers across digital ecosystem yet there are not unified solutions which simplify the complex. Tech leaders Google, Meta, even largest consumer tech companies like Amazon, Uber, Netflix rely on advertising revenue with an ever-evolving ecosystem, the problem statements are diverse, high velocity, and technically challenging for the advertisers.
To overcome this challenge, we collaborate with world leading advertisers, ad tech firms to create solutions. We are also developing an innovative, comprehensive, and independent platform with set of products and features, providing a foundation for industry to automate, optimize digital media with power of technology.
We're a passionate team with experience that includes building a unicorn programmatic media company, & the development of many of the product & technologies used in scale ad targeting, measurement on digital platforms.","Python
Django",https://www.instahyre.com/job-327426-software-engineer-at-rtbanalytica-bangalore-work-from-home/
6sense,Software Engineer II (Backend),Work From Home,Founded in 2013,50 - 200 employees,"The 6sense Account Based Orchestration Platform helps revenue teams identify and close more opportunities by putting the power of AI, big data and machine learning behind every member of the B2B revenue team, empowering them to uncover anonymous buying behaviour, prioritise fragmented data to focus on accounts in market, and engage resistant buying teams with personalised, multi-channel, multi-touch campaigns.

6sense helps revenue teams know everything they need to know about their buyers so they can easily do anything they need to do to generate more opportunities, increase deal size, get into opportunities sooner, compete and win more often.","Django
Flask
Python",https://www.instahyre.com/job-306244-software-engineer-ii-backend-at-6sense-work-from-home/
Our Sunday Visitor,Fullstack Developer,Gurgaon,Founded in 1912,200 - 500 employees,"Our Sunday Visitor, now known as OSV, is the largest Catholic publishing company in the U. S., serving parishes and dioceses nationwide. OSV employees all over the country are called to serve.

OSV continues to publish the weekly Catholic newspaper, Our Sunday Visitor, along with periodicals for priests and deacons, and hundreds of Catholic books, pamphlets, and other printed material every year designed to accompany Catholics on their faith journey.

OSV's full line of curriculum and sacrament preparation products help educate and engage children and youth in the faith and helping them grow in their relationship with Christ.

From traditional offering envelopes to other products like Increased Offertory Programs, Parish Capital Campaigns, and Diocesan Appeals, OSV helps parishes and dioceses keep financially fit, and raise funds that help support thousands of individual missions. Consulting services such as OSV Parish Vision Plan provide a strong foundation that helps strengthen the parish community even more. Advanced products such as Online Giving, OSV Church Manager, and websites are more examples of products designed to help parishes and dioceses meet parishioners no matter where they are.

All this is possible because of the dedication of the hundreds of OSV employees who, like founder Fr. John Francis Noll, are industrious, innovative, and put the needs of others first. Through this philosophy of servant leadership, combined with best-in-class customer service, state-of-the-art technology, and first-class content, OSV will continue its long tradition of service to the Church and her people.","React.js
Angular
Node.js
Python
MongoDB",https://www.instahyre.com/job-329728-fullstack-developer-at-our-sunday-visitor-gurgaon/
